TF alias cluster celltype isTF_DE totRegInCluster X.TGs qval_cluster out.degree closeness betweenness med_coexpr TF_qval borda_rank borda_clusterRank GO term Bradi_id protein_id protein_length Protein_info_uniprot pacId transcriptName peptideName Pfam Panther KOG ec KO best_arabi_gene best_arabi_defline best_rice_gene best_rice_defline
BdiBd21-3.1G0039500 BdiBd21-3.1G0039500 EarlyGMCs_Cluster_1 EarlyGMCs 1 50 278 6.22169e-56 0.8224852071005917 1.139285299918784 1.0014294995121291 0.5881584258814581 1.21102472430685e-6 44 10 GO:0005634 nucleus Bradi1g03020 KQK12335.1 146 "GATA-type domain-containing protein" PAC:42963780 BdiBd21-3.1G0039500.1 BdiBd21-3.1G0039500.1.p PF00320 "PTHR10071 PTHR10071:SF208" NA NA NA AT3G06740 "GATA transcription factor 15" LOC_Os01g74540 "GATA zinc finger domain containing protein, expressed"
BdiBd21-3.1G0039500 BdiBd21-3.1G0039500 EarlyGMCs_Cluster_1 EarlyGMCs 1 50 278 6.22169e-56 0.8224852071005917 1.139285299918784 1.0014294995121291 0.5881584258814581 1.21102472430685e-6 44 10 GO:0043565 "sequence-specific DNA binding" Bradi1g03020 KQK12335.1 146 "GATA-type domain-containing protein" PAC:42963780 BdiBd21-3.1G0039500.1 BdiBd21-3.1G0039500.1.p PF00320 "PTHR10071 PTHR10071:SF208" NA NA NA AT3G06740 "GATA transcription factor 15" LOC_Os01g74540 "GATA zinc finger domain containing protein, expressed"
BdiBd21-3.1G0039500 BdiBd21-3.1G0039500 EarlyGMCs_Cluster_1 EarlyGMCs 1 50 278 6.22169e-56 0.8224852071005917 1.139285299918784 1.0014294995121291 0.5881584258814581 1.21102472430685e-6 44 10 GO:0008270 "zinc ion binding" Bradi1g03020 KQK12335.1 146 "GATA-type domain-containing protein" PAC:42963780 BdiBd21-3.1G0039500.1 BdiBd21-3.1G0039500.1.p PF00320 "PTHR10071 PTHR10071:SF208" NA NA NA AT3G06740 "GATA transcription factor 15" LOC_Os01g74540 "GATA zinc finger domain containing protein, expressed"
BdiBd21-3.1G0039500 BdiBd21-3.1G0039500 EarlyGMCs_Cluster_1 EarlyGMCs 1 50 278 6.22169e-56 0.8224852071005917 1.139285299918784 1.0014294995121291 0.5881584258814581 1.21102472430685e-6 44 10 GO:0006355 "regulation of DNA-templated transcription" Bradi1g03020 KQK12335.1 146 "GATA-type domain-containing protein" PAC:42963780 BdiBd21-3.1G0039500.1 BdiBd21-3.1G0039500.1.p PF00320 "PTHR10071 PTHR10071:SF208" NA NA NA AT3G06740 "GATA transcription factor 15" LOC_Os01g74540 "GATA zinc finger domain containing protein, expressed"
BdiBd21-3.1G0039500 BdiBd21-3.1G0039500 DividingGMCs_Cluster_2 DividingGMCs 1 79 273 1.05213e-51 0.7690140845070422 0.0390024098021247 4.282542960362165e-4 1.2568580983448383 1.93697462711751e-10 104 14 GO:0005634 nucleus Bradi1g03020 KQK12335.1 146 "GATA-type domain-containing protein" PAC:42963780 BdiBd21-3.1G0039500.1 BdiBd21-3.1G0039500.1.p PF00320 "PTHR10071 PTHR10071:SF208" NA NA NA AT3G06740 "GATA transcription factor 15" LOC_Os01g74540 "GATA zinc finger domain containing protein, expressed"
BdiBd21-3.1G0039500 BdiBd21-3.1G0039500 DividingGMCs_Cluster_2 DividingGMCs 1 79 273 1.05213e-51 0.7690140845070422 0.0390024098021247 4.282542960362165e-4 1.2568580983448383 1.93697462711751e-10 104 14 GO:0043565 "sequence-specific DNA binding" Bradi1g03020 KQK12335.1 146 "GATA-type domain-containing protein" PAC:42963780 BdiBd21-3.1G0039500.1 BdiBd21-3.1G0039500.1.p PF00320 "PTHR10071 PTHR10071:SF208" NA NA NA AT3G06740 "GATA transcription factor 15" LOC_Os01g74540 "GATA zinc finger domain containing protein, expressed"
BdiBd21-3.1G0039500 BdiBd21-3.1G0039500 DividingGMCs_Cluster_2 DividingGMCs 1 79 273 1.05213e-51 0.7690140845070422 0.0390024098021247 4.282542960362165e-4 1.2568580983448383 1.93697462711751e-10 104 14 GO:0008270 "zinc ion binding" Bradi1g03020 KQK12335.1 146 "GATA-type domain-containing protein" PAC:42963780 BdiBd21-3.1G0039500.1 BdiBd21-3.1G0039500.1.p PF00320 "PTHR10071 PTHR10071:SF208" NA NA NA AT3G06740 "GATA transcription factor 15" LOC_Os01g74540 "GATA zinc finger domain containing protein, expressed"
BdiBd21-3.1G0039500 BdiBd21-3.1G0039500 DividingGMCs_Cluster_2 DividingGMCs 1 79 273 1.05213e-51 0.7690140845070422 0.0390024098021247 4.282542960362165e-4 1.2568580983448383 1.93697462711751e-10 104 14 GO:0006355 "regulation of DNA-templated transcription" Bradi1g03020 KQK12335.1 146 "GATA-type domain-containing protein" PAC:42963780 BdiBd21-3.1G0039500.1 BdiBd21-3.1G0039500.1.p PF00320 "PTHR10071 PTHR10071:SF208" NA NA NA AT3G06740 "GATA transcription factor 15" LOC_Os01g74540 "GATA zinc finger domain containing protein, expressed"
BdiBd21-3.1G0039500 BdiBd21-3.1G0039500 LateGCs_Cluster_4 LateGCs 0 52 227 4.10034e-28 0.7252396166134185 0.0390024098021247 4.282542960362165e-4 0.8586757022618688 NA 202 18 GO:0005634 nucleus Bradi1g03020 KQK12335.1 146 "GATA-type domain-containing protein" PAC:42963780 BdiBd21-3.1G0039500.1 BdiBd21-3.1G0039500.1.p PF00320 "PTHR10071 PTHR10071:SF208" NA NA NA AT3G06740 "GATA transcription factor 15" LOC_Os01g74540 "GATA zinc finger domain containing protein, expressed"
BdiBd21-3.1G0039500 BdiBd21-3.1G0039500 LateGCs_Cluster_4 LateGCs 0 52 227 4.10034e-28 0.7252396166134185 0.0390024098021247 4.282542960362165e-4 0.8586757022618688 NA 202 18 GO:0043565 "sequence-specific DNA binding" Bradi1g03020 KQK12335.1 146 "GATA-type domain-containing protein" PAC:42963780 BdiBd21-3.1G0039500.1 BdiBd21-3.1G0039500.1.p PF00320 "PTHR10071 PTHR10071:SF208" NA NA NA AT3G06740 "GATA transcription factor 15" LOC_Os01g74540 "GATA zinc finger domain containing protein, expressed"
