GO:0006749	BdiBd21-3.1G0000200	InterPro	glutathione metabolic process
GO:0005737	BdiBd21-3.1G0000200	InterPro	cytoplasm
GO:0004364	BdiBd21-3.1G0000200	InterPro	glutathione transferase activity
GO:0003723	BdiBd21-3.1G0000500	GO_Central	RNA binding
GO:0003729	BdiBd21-3.1G0000500	GO_Central	mRNA binding
GO:0005634	BdiBd21-3.1G0000700	GO_Central	nucleus
GO:0003700	BdiBd21-3.1G0000700	GO_Central	DNA-binding transcription factor activity
GO:0006355	BdiBd21-3.1G0000700	GO_Central	regulation of DNA-templated transcription
GO:0043565	BdiBd21-3.1G0000700	GO_Central	sequence-specific DNA binding
GO:0043531	BdiBd21-3.1G0000900	InterPro	ADP binding
GO:0098542	BdiBd21-3.1G0000900	InterPro	defense response to other organism
GO:0006952	BdiBd21-3.1G0000900	InterPro	defense response
GO:0051707	BdiBd21-3.1G0000900	InterPro	response to other organism
GO:0005794	BdiBd21-3.1G0001100	GO_Central	Golgi apparatus
GO:0016020	BdiBd21-3.1G0001300	UniProt	membrane
GO:0005524	BdiBd21-3.1G0001300	UniProt	ATP binding
GO:0004672	BdiBd21-3.1G0001300	UniProt	protein kinase activity
GO:0004674	BdiBd21-3.1G0001300	UniProt	protein serine/threonine kinase activity
GO:0004674	BdiBd21-3.1G0001400	InterPro	protein serine/threonine kinase activity
GO:0004672	BdiBd21-3.1G0001400	InterPro	protein kinase activity
GO:0005524	BdiBd21-3.1G0001400	InterPro	ATP binding
GO:0015297	BdiBd21-3.1G0001500	UniProt	antiporter activity
GO:0016020	BdiBd21-3.1G0001500	UniProt	membrane
GO:0042910	BdiBd21-3.1G0001500	UniProt	xenobiotic transmembrane transporter activity
GO:1990961	BdiBd21-3.1G0001500	UniProt	xenobiotic detoxification by transmembrane export across the plasma membrane
GO:0022857	BdiBd21-3.1G0001500	UniProt	transmembrane transporter activity
GO:0098542	BdiBd21-3.1G0001700	UniProt	defense response to other organism
GO:0006952	BdiBd21-3.1G0001700	UniProt	defense response
GO:0043531	BdiBd21-3.1G0001700	UniProt	ADP binding
GO:0051707	BdiBd21-3.1G0001700	UniProt	response to other organism
GO:0006952	BdiBd21-3.1G0002200	InterPro	defense response
GO:0016042	BdiBd21-3.1G0002200	InterPro	lipid catabolic process
GO:0004620	BdiBd21-3.1G0002200	InterPro	phospholipase activity
GO:0006629	BdiBd21-3.1G0002200	InterPro	lipid metabolic process
GO:0016787	BdiBd21-3.1G0002200	InterPro	hydrolase activity
GO:0047372	BdiBd21-3.1G0002200	InterPro	monoacylglycerol lipase activity
GO:0016020	BdiBd21-3.1G0003000	UniProt	membrane
GO:0016020	BdiBd21-3.1G0003300	UniProt	membrane
GO:0008270	BdiBd21-3.1G0003900	InterPro	zinc ion binding
GO:0003723	BdiBd21-3.1G0003900	InterPro	RNA binding
GO:0009451	BdiBd21-3.1G0003900	InterPro	RNA modification
GO:0016020	BdiBd21-3.1G0004200	UniProt	membrane
GO:0016757	BdiBd21-3.1G0004200	UniProt	glycosyltransferase activity
GO:0046872	BdiBd21-3.1G0004800	InterPro	metal ion binding
GO:0036121	BdiBd21-3.1G0004800	InterPro	double-stranded DNA helicase activity
GO:0003684	BdiBd21-3.1G0004800	InterPro	damaged DNA binding
GO:0003677	BdiBd21-3.1G0004800	InterPro	DNA binding
GO:0005634	BdiBd21-3.1G0004800	InterPro	nucleus
GO:0016853	BdiBd21-3.1G0004800	InterPro	isomerase activity
GO:0006974	BdiBd21-3.1G0004800	InterPro	DNA damage response
GO:0009378	BdiBd21-3.1G0004800	InterPro	four-way junction helicase activity
GO:0005524	BdiBd21-3.1G0004800	InterPro	ATP binding
GO:0061749	BdiBd21-3.1G0004800	InterPro	forked DNA-dependent helicase activity
GO:0006366	BdiBd21-3.1G0004800	InterPro	transcription by RNA polymerase II
GO:0051539	BdiBd21-3.1G0004800	InterPro	4 iron, 4 sulfur cluster binding
GO:0016787	BdiBd21-3.1G0004800	InterPro	hydrolase activity
GO:1990518	BdiBd21-3.1G0004800	InterPro	single-stranded 3'-5' DNA helicase activity
GO:0003678	BdiBd21-3.1G0004800	InterPro	DNA helicase activity
GO:0045951	BdiBd21-3.1G0004800	InterPro	positive regulation of mitotic recombination
GO:0006289	BdiBd21-3.1G0004800	InterPro	nucleotide-excision repair
GO:0004386	BdiBd21-3.1G0004800	InterPro	helicase activity
GO:0016818	BdiBd21-3.1G0004800	InterPro	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0006281	BdiBd21-3.1G0004800	InterPro	DNA repair
GO:0008270	BdiBd21-3.1G0004900	UniProt	zinc ion binding
GO:0005096	BdiBd21-3.1G0005000	GO_Central	GTPase activator activity
GO:0016020	BdiBd21-3.1G0005100	UniProt	membrane
GO:0005524	BdiBd21-3.1G0005100	UniProt	ATP binding
GO:0005886	BdiBd21-3.1G0005100	UniProt	plasma membrane
GO:0140359	BdiBd21-3.1G0005100	UniProt	ABC-type transporter activity
GO:0016887	BdiBd21-3.1G0005100	UniProt	ATP hydrolysis activity
GO:0055085	BdiBd21-3.1G0005100	UniProt	transmembrane transport
GO:0004364	BdiBd21-3.1G0005200	UniProt	glutathione transferase activity
GO:0016020	BdiBd21-3.1G0005300	UniProt	membrane
GO:0016020	BdiBd21-3.1G0005500	UniProt	membrane
GO:0009451	BdiBd21-3.1G0005600	InterPro	RNA modification
GO:0003723	BdiBd21-3.1G0005600	InterPro	RNA binding
GO:0006376	BdiBd21-3.1G0005900	InterPro	mRNA splice site recognition
GO:0003729	BdiBd21-3.1G0005900	InterPro	mRNA binding
GO:0071004	BdiBd21-3.1G0005900	InterPro	U2-type prespliceosome
GO:0005685	BdiBd21-3.1G0005900	InterPro	U1 snRNP
GO:0005634	BdiBd21-3.1G0006000	UniProt	nucleus
GO:0003729	BdiBd21-3.1G0006000	UniProt	mRNA binding
GO:0003723	BdiBd21-3.1G0006000	UniProt	RNA binding
GO:0046872	BdiBd21-3.1G0006500	InterPro	metal ion binding
GO:0055085	BdiBd21-3.1G0006600	GOC	transmembrane transport
GO:0015267	BdiBd21-3.1G0006600	GOC	channel activity
GO:0006833	BdiBd21-3.1G0006600	GOC	water transport
GO:0005886	BdiBd21-3.1G0006600	GOC	plasma membrane
GO:0016020	BdiBd21-3.1G0006600	GOC	membrane
GO:0015250	BdiBd21-3.1G0006600	GOC	water channel activity
GO:0045892	BdiBd21-3.1G0006900	InterPro	negative regulation of DNA-templated transcription
GO:0003714	BdiBd21-3.1G0006900	InterPro	transcription corepressor activity
GO:0004674	BdiBd21-3.1G0007000	UniProt	protein serine/threonine kinase activity
GO:0005737	BdiBd21-3.1G0007000	UniProt	cytoplasm
